country,sex,year,ASIRsmooth
Latvia,1,2000,0.99177137
Latvia,1,2001,1.09251961
Latvia,1,2002,1.213482892
Latvia,1,2003,1.381170247
Latvia,1,2004,1.513444813
Latvia,1,2005,1.646321057
Latvia,1,2006,1.768935215
Latvia,1,2007,1.887731745
Latvia,1,2008,1.994737926
Latvia,1,2009,2.101416519
Latvia,1,2010,2.207735836
Latvia,1,2011,2.326163677
Latvia,1,2012,2.455926168
Latvia,1,2013,2.626662655
Latvia,1,2014,2.867226049
Latvia,1,2015,3.154219429
Latvia,1,2016,3.499088784
Latvia,1,2017,3.896888717
Lithuania,1,1988,0.605866827
Lithuania,1,1989,0.710764962
Lithuania,1,1990,0.819034482
Lithuania,1,1991,0.91922432
Lithuania,1,1992,1.030259875
Lithuania,1,1993,1.125972506
Lithuania,1,1994,1.135801432
Lithuania,1,1995,1.12712134
Lithuania,1,1996,1.09330096
Lithuania,1,1997,1.084297207
Lithuania,1,1998,1.205117944
Lithuania,1,1999,1.379551973
Lithuania,1,2000,1.640703735
Lithuania,1,2001,1.901652781
Lithuania,1,2002,2.100716212
Lithuania,1,2003,2.203936194
Lithuania,1,2004,2.272391503
Lithuania,1,2005,2.282422487
Lithuania,1,2006,2.296894581
Lithuania,1,2007,2.431227762
Lithuania,1,2008,2.5833972
Lithuania,1,2009,2.729538035
Lithuania,1,2010,2.864920508
Lithuania,1,2011,2.951966815
Lithuania,1,2012,3.018235405
Lithuania,1,2013,3.073806873
Lithuania,1,2014,3.096870657
Lithuania,1,2015,3.074998422
Lithuania,1,2016,3.018980537
Lithuania,1,2017,2.925092738
Malta,1,1993,0.057841876
Malta,1,1994,1.172828437
Malta,1,1995,1.930270705
Malta,1,1996,2.357215994
Malta,1,1997,2.336698473
Malta,1,1998,2.106087971
Malta,1,1999,1.720259916
Malta,1,2000,1.582585515
Malta,1,2001,1.521919354
Malta,1,2002,1.595871081
Malta,1,2003,1.606723559
Malta,1,2004,1.650596393
Malta,1,2005,1.966270955
Malta,1,2006,2.002608432
Malta,1,2007,2.105765507
Malta,1,2008,2.287763105
Malta,1,2009,3.111626916
Malta,1,2010,4.049535059
Malta,1,2011,4.947363681
Malta,1,2012,5.462742317
Malta,1,2013,5.774468908
Malta,1,2014,5.980645306
Malta,1,2015,5.806245499
Malta,1,2016,5.347095164
Malta,1,2017,4.563602124
New Zealand,1,1983,1.170772466
New Zealand,1,1984,1.161678651
New Zealand,1,1985,1.156597132
New Zealand,1,1986,1.15441378
New Zealand,1,1987,1.158447914
New Zealand,1,1988,1.169233904
New Zealand,1,1989,1.188751607
New Zealand,1,1990,1.206677381
New Zealand,1,1991,1.238733086
New Zealand,1,1992,1.323869597
New Zealand,1,1993,1.428839419
New Zealand,1,1994,1.579660374
New Zealand,1,1995,1.683161332
New Zealand,1,1996,1.766053435
New Zealand,1,1997,1.780248076
New Zealand,1,1998,1.779909921
New Zealand,1,1999,1.743058739
New Zealand,1,2000,1.716292149
New Zealand,1,2001,1.790101873
New Zealand,1,2002,1.885473341
New Zealand,1,2003,2.042957636
New Zealand,1,2004,2.142973688
New Zealand,1,2005,2.234963109
New Zealand,1,2006,2.278147654
New Zealand,1,2007,2.310132941
New Zealand,1,2008,2.337834765
New Zealand,1,2009,2.375595538
New Zealand,1,2010,2.461078306
New Zealand,1,2011,2.56715074
New Zealand,1,2012,2.699594447
New Zealand,1,2013,2.838784687
New Zealand,1,2014,2.969224492
New Zealand,1,2015,3.104643879
New Zealand,1,2016,3.242582466
New Zealand,1,2017,3.38385359
Norway,1,1980,1.694968077
Norway,1,1981,1.639467787
Norway,1,1982,1.600119384
Norway,1,1983,1.581116558
Norway,1,1984,1.577034682
Norway,1,1985,1.586539979
Norway,1,1986,1.612091943
Norway,1,1987,1.648054764
Norway,1,1988,1.750660636
Norway,1,1989,1.837028667
Norway,1,1990,1.79152588
Norway,1,1991,1.69158326
Norway,1,1992,1.612491312
